<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20240314,090000,93805,93849,93805,93826,174
20240314,090100,93813,93850,93812,93835,448
20240314,090200,93834,93919,93834,93910,406
20240314,090300,93910,93912,93900,93900,97
20240314,090400,93894,93901,93878,93878,17
20240314,090500,93879,93914,93810,93846,369
20240314,090600,93869,93880,93861,93861,10
20240314,090700,93864,93864,93864,93864,2
20240314,090800,93864,93864,93864,93864,1
20240314,090900,93859,93861,93852,93861,5
20240314,091100,93851,93851,93840,93840,20
20240314,091200,93831,93831,93810,93810,18
20240314,091300,93810,93820,93810,93820,17
20240314,091500,93820,93820,93807,93819,36
20240314,091600,93818,93843,93818,93843,64
20240314,091700,93852,93880,93851,93878,26
20240314,091800,93869,93882,93865,93882,30
20240314,091900,93857,93857,93820,93830,44
20240314,092000,93830,93852,93830,93852,5
20240314,092100,93880,93900,93880,93900,39
20240314,092200,93882,93922,93873,93913,126
20240314,092300,93923,93975,93921,93968,163
20240314,092400,93971,93979,93951,93960,68
20240314,092500,93973,93978,93962,93978,54
20240314,092600,93980,93989,93973,93977,97
20240314,092700,93973,93973,93973,93973,114
20240314,092800,93973,93973,93936,93950,224
20240314,092900,93945,93949,93936,93949,100
20240314,093000,93949,93949,93949,93949,4
20240314,093100,93936,93936,93936,93936,6
20240314,093200,93943,93943,93937,93937,2
20240314,093300,93937,93940,93930,93930,205
20240314,093400,93930,93934,93918,93918,405
20240314,093500,93902,93905,93900,93905,9
20240314,093600,93900,93900,93890,93890,56
20240314,093700,93897,93930,93897,93930,14
20240314,093800,93930,93937,93909,93920,333
20240314,093900,93920,93930,93918,93930,156
20240314,094000,93930,93940,93924,93930,161
20240314,094100,93940,93947,93939,93945,41
20240314,094200,93950,93953,93950,93953,4
20240314,094300,93946,93946,93909,93909,7
20240314,094400,93904,93920,93904,93920,9
20240314,094500,93912,93912,93911,93911,5
20240314,094600,93899,93899,93885,93885,17
20240314,094700,93870,93879,93849,93849,30
20240314,094800,93855,93855,93851,93851,5
20240314,094900,93858,93858,93852,93852,3
20240314,095000,93850,93865,93838,93859,51
20240314,095100,93854,93860,93854,93854,25
20240314,095200,93846,93860,93840,93860,71
20240314,095300,93860,93891,93860,93891,62
20240314,095500,93909,93910,93909,93910,3
20240314,095600,93896,93898,93876,93880,11
20240314,095700,93880,93880,93875,93875,19
20240314,095800,93880,93880,93880,93880,3
20240314,095900,93882,93895,93882,93895,51
20240314,100000,93892,93937,93892,93937,550
20240314,100100,93945,93983,93945,93962,51
20240314,100200,93963,94000,93962,93998,416
20240314,100300,94000,94007,93998,94002,63
20240314,100400,94000,94055,94000,94055,125
20240314,100500,94060,94125,94060,94118,346
20240314,100600,94118,94125,94055,94063,977
20240314,100700,94063,94148,94063,94106,1457
20240314,100800,94103,94131,94103,94107,134
20240314,100900,94116,94120,94106,94120,556
20240314,101000,94120,94147,94106,94144,412
20240314,101100,94144,94172,94124,94163,1188
20240314,101200,94154,94158,94120,94120,141
20240314,101300,94121,94134,94113,94113,161
20240314,101400,94120,94156,94120,94137,326
20240314,101500,94138,94145,94122,94132,340
20240314,101600,94132,94137,94015,94024,664
20240314,101700,94024,94079,94024,94076,76
20240314,101800,94077,94079,94049,94050,97
20240314,101900,94050,94064,94032,94064,85
20240314,102000,94062,94066,94035,94040,113
20240314,102100,94038,94051,94035,94051,118
20240314,102200,94045,94060,94044,94060,50
20240314,102300,94065,94074,94060,94067,135
20240314,102400,94060,94076,94060,94065,140
20240314,102500,94072,94106,94065,94102,127
20240314,102600,94102,94109,94094,94094,175
20240314,102700,94097,94102,94082,94086,155
20240314,102800,94077,94090,94077,94083,47
20240314,102900,94089,94107,94086,94107,59
20240314,103000,94103,94114,94088,94096,476
20240314,103100,94096,94108,94066,94102,142
20240314,103200,94107,94123,94098,94119,139
20240314,103300,94120,94140,94115,94138,118
20240314,103400,94140,94140,94091,94091,772
20240314,103500,94095,94133,94095,94133,60
20240314,103600,94107,94124,94107,94124,4
20240314,103700,94122,94122,94109,94113,20
20240314,103800,94109,94109,94079,94092,88
20240314,103900,94088,94095,94088,94090,24
20240314,104000,94085,94088,94064,94064,113
20240314,104100,94058,94091,94058,94080,148
20240314,104200,94074,94079,94070,94072,37
20240314,104300,94075,94100,94075,94089,56
20240314,104400,94089,94103,94087,94098,47
20240314,104500,94110,94120,94107,94107,48
20240314,104600,94107,94128,94068,94096,370
20240314,104700,94101,94111,94097,94111,74
20240314,104800,94117,94117,94082,94103,92
20240314,104900,94105,94108,94087,94100,152
20240314,105000,94100,94121,94092,94106,110
20240314,105100,94109,94120,94082,94082,106
20240314,105200,94099,94102,94091,94091,13
20240314,105300,94087,94100,94083,94100,70
20240314,105400,94103,94115,94103,94109,20
20240314,105500,94111,94121,94083,94121,206
20240314,105600,94122,94144,94119,94133,130
20240314,105700,94130,94140,94101,94122,282
20240314,105800,94126,94166,94125,94166,369
20240314,105900,94165,94192,94162,94190,421
