<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200320,100000,80397,80397,79180,79318,22301
20200320,100100,79316,79319,79200,79256,7733
20200320,100200,79255,79399,79248,79348,9901
20200320,100300,79348,79426,79327,79389,10727
20200320,100400,79389,79419,79353,79372,5316
20200320,100500,79373,79423,79353,79415,5478
20200320,100600,79420,79524,79415,79442,9588
20200320,100700,79459,79575,79443,79561,5590
20200320,100800,79568,79600,79540,79555,4810
20200320,100900,79563,79743,79552,79718,11324
20200320,101000,79715,79844,79679,79800,11326
20200320,101100,79807,80000,79787,79980,24279
20200320,101200,79980,80200,79971,80031,26172
20200320,101300,80029,80046,79907,79908,13028
20200320,101400,79909,79928,79800,79850,11118
20200320,101500,79849,79904,79800,79901,6519
20200320,101600,79892,79903,79650,79656,10875
20200320,101700,79656,79703,79561,79690,9915
20200320,101800,79691,79781,79689,79738,6837
20200320,101900,79740,79750,79680,79682,7647
20200320,102000,79682,79776,79682,79711,3822
20200320,102100,79718,79727,79620,79629,4528
20200320,102200,79629,79716,79607,79695,5274
20200320,102300,79693,79705,79588,79596,3943
20200320,102400,79605,79614,79566,79582,1604
20200320,102500,79584,79589,79435,79435,7849
20200320,102600,79436,79468,79382,79385,6529
20200320,102700,79390,79391,79243,79271,10204
20200320,102800,79260,79270,79185,79212,16873
20200320,102900,79209,79284,79199,79270,8836
20200320,103000,79276,79276,79200,79234,8174
20200320,103100,79234,79264,79213,79249,6099
20200320,103200,79250,79464,79250,79363,15374
20200320,103300,79363,79457,79308,79396,11348
20200320,103400,79401,79422,79320,79419,4674
20200320,103500,79418,79525,79375,79404,9257
20200320,103600,79405,79420,79315,79342,5171
20200320,103700,79343,79361,79242,79282,9852
20200320,103800,79286,79300,79240,79250,5335
20200320,103900,79247,79353,79225,79328,8983
20200320,104000,79328,79333,79273,79307,4230
20200320,104100,79304,79320,79233,79276,9376
20200320,104200,79280,79344,79266,79319,3920
20200320,104300,79316,79352,79272,79299,5840
20200320,104400,79299,79335,79225,79240,5793
20200320,104500,79236,79287,79219,79259,5289
20200320,104600,79259,79321,79233,79283,4896
20200320,104700,79277,79294,79202,79253,8300
20200320,104800,79247,79308,79205,79304,5876
20200320,104900,79299,79321,79226,79290,7158
20200320,105000,79286,79314,79200,79203,8915
20200320,105100,79202,79266,79111,79211,18582
20200320,105200,79209,79219,79111,79156,10931
20200320,105300,79156,79213,79134,79197,6139
20200320,105400,79198,79227,79160,79189,7397
20200320,105500,79186,79187,79096,79122,8723
20200320,105600,79127,79161,79093,79158,11654
20200320,105700,79156,79189,79115,79136,4893
20200320,105800,79136,79153,79078,79105,5267
20200320,105900,79108,79194,79096,79132,10368
20200320,110000,79135,79192,79113,79143,7759
20200320,110100,79140,79229,79112,79205,8940
20200320,110200,79209,79263,79165,79199,6203
20200320,110300,79195,79232,79113,79113,4000
20200320,110400,79116,79138,79000,79029,15841
20200320,110500,79028,79038,78900,78907,11785
20200320,110600,78901,78909,78822,78849,8505
20200320,110700,78848,78965,78836,78914,11422
20200320,110800,78907,78915,78826,78876,12449
20200320,110900,78881,78969,78874,78896,7409
20200320,111000,78900,78905,78736,78763,14980
20200320,111100,78764,78814,78678,78786,14496
20200320,111200,78786,78823,78735,78788,6829
20200320,111300,78793,78800,78606,78664,16572
20200320,111400,78661,78728,78615,78720,10906
20200320,111500,78721,78795,78687,78749,10309
20200320,111600,78750,78759,78600,78600,20546
20200320,111700,78600,78666,78527,78565,21301
20200320,111800,78565,78614,78500,78601,11296
20200320,111900,78603,78767,78597,78657,17569
20200320,112000,78651,78713,78606,78682,9621
20200320,112100,78673,78722,78600,78671,5403
20200320,112200,78671,78697,78619,78684,2512
20200320,112300,78685,78709,78651,78690,5126
20200320,112400,78686,78792,78670,78766,11565
20200320,112500,78764,78787,78661,78713,12800
20200320,112600,78712,78788,78626,78775,5866
20200320,112700,78776,78855,78720,78740,11518
20200320,112800,78740,78876,78705,78845,6378
20200320,112900,78842,78871,78757,78778,6812
20200320,113000,78779,78875,78751,78833,5591
20200320,113100,78823,78910,78802,78889,6351
20200320,113200,78898,79052,78860,79014,12256
20200320,113300,79013,79025,78920,78968,6589
20200320,113400,78972,78987,78856,78892,2398
20200320,113500,78901,78902,78814,78871,3393
20200320,113600,78876,79000,78870,78993,7212
20200320,113700,78993,78993,78900,78936,3569
20200320,113800,78927,78979,78813,78813,4679
20200320,113900,78823,78851,78700,78727,5173
20200320,114000,78728,78831,78708,78831,4504
20200320,114100,78820,78866,78788,78830,4268
20200320,114200,78821,78887,78781,78877,2433
20200320,114300,78876,78944,78870,78927,1740
20200320,114400,78916,78999,78871,78980,5929
20200320,114500,78976,79000,78906,78936,4276
20200320,114600,78931,78932,78829,78840,5403
20200320,114700,78840,78908,78839,78874,4651
20200320,114800,78868,78927,78849,78915,2088
20200320,114900,78912,78938,78850,78858,3350
20200320,115000,78861,78913,78845,78862,3245
20200320,115100,78862,78877,78784,78804,4086
20200320,115200,78800,78867,78787,78800,3322
20200320,115300,78799,78829,78772,78791,2339
20200320,115400,78788,78881,78782,78866,3104
20200320,115500,78871,78900,78835,78879,3243
20200320,115600,78878,78880,78836,78866,2559
20200320,115700,78862,78864,78736,78741,6858
20200320,115800,78743,78808,78717,78761,5886
20200320,115900,78762,78873,78753,78853,6247
20200320,120000,78853,78868,78759,78767,5889
20200320,120100,78766,78853,78733,78846,2337
20200320,120200,78842,78860,78803,78814,1742
20200320,120300,78825,78875,78806,78860,2427
20200320,120400,78859,78878,78819,78865,2367
20200320,120500,78866,78903,78750,78759,4183
20200320,120600,78758,78808,78664,78713,8049
20200320,120700,78703,78737,78662,78729,5582
20200320,120800,78724,78767,78702,78723,1885
20200320,120900,78726,78775,78658,78673,4519
20200320,121000,78677,78685,78599,78646,5190
20200320,121100,78646,78711,78625,78687,3971
20200320,121200,78694,78725,78655,78655,2580
20200320,121300,78654,78832,78617,78819,5846
20200320,121400,78812,78812,78722,78791,3842
20200320,121500,78778,78817,78755,78806,4775
20200320,121600,78810,78820,78747,78767,3164
20200320,121700,78763,78850,78754,78819,2677
20200320,121800,78819,78861,78793,78800,2878
20200320,121900,78805,78836,78792,78800,2855
20200320,122000,78793,78826,78764,78785,3453
20200320,122100,78784,78858,78762,78834,3750
20200320,122200,78838,78943,78828,78848,4617
20200320,122300,78853,78867,78801,78805,2329
20200320,122400,78810,78834,78755,78830,3424
20200320,122500,78829,78835,78724,78752,2944
20200320,122600,78752,78792,78737,78776,1829
20200320,122700,78774,78804,78733,78765,3079
20200320,122800,78770,78816,78768,78786,4420
20200320,122900,78784,78829,78765,78817,5790
20200320,123000,78813,78891,78775,78891,6099
20200320,123100,78891,78891,78806,78882,3485
20200320,123200,78882,78959,78870,78918,3325
20200320,123300,78923,78965,78897,78932,4946
20200320,123400,78938,78977,78905,78973,2564
20200320,123500,78975,79014,78912,78948,5770
20200320,123600,78948,78998,78929,78992,2530
20200320,123700,78992,79065,78976,79045,3479
20200320,123800,79039,79050,78973,79002,2413
20200320,123900,79003,79097,78997,79070,4300
20200320,124000,79070,79091,79030,79043,3993
20200320,124100,79035,79082,78985,78998,2499
20200320,124200,78998,79049,78974,79020,7047
20200320,124300,79017,79049,78974,79045,2719
20200320,124400,79050,79135,79030,79111,5497
20200320,124500,79111,79130,79015,79031,5287
20200320,124600,79030,79073,79000,79030,3422
20200320,124700,79030,79042,78941,78958,6725
20200320,124800,78955,78990,78913,78943,4387
20200320,124900,78943,78982,78888,78937,5053
20200320,125000,78938,78951,78783,78804,7621
20200320,125100,78804,78880,78755,78778,6753
20200320,125200,78779,78830,78761,78776,2662
20200320,125300,78779,78805,78726,78758,3340
20200320,125400,78762,78832,78742,78819,3263
20200320,125500,78819,78838,78774,78814,4349
20200320,125600,78810,78866,78771,78857,6038
20200320,125700,78858,78878,78829,78850,3873
20200320,125800,78850,78911,78836,78888,3865
20200320,125900,78887,78901,78848,78885,4072
20200320,130000,78885,78929,78863,78909,2545
20200320,130100,78903,78923,78881,78893,1041
20200320,130200,78882,78932,78872,78898,1952
20200320,130300,78901,78994,78901,78941,2039
20200320,130400,78944,78975,78914,78964,2428
20200320,130500,78964,79042,78945,79002,6583
20200320,130600,79005,79072,78984,78990,3200
20200320,130700,78989,79003,78938,78970,5493
20200320,130800,78976,79060,78949,79045,4626
20200320,130900,79041,79169,79036,79115,10773
