<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20230914,090000,95700,96220,95700,95924,1553
20230914,090100,95914,95939,95831,95863,512
20230914,090200,95860,95976,95836,95965,634
20230914,090300,95966,95998,95923,95923,571
20230914,090400,95914,95914,95867,95898,318
20230914,090500,95895,95916,95823,95823,511
20230914,090600,95819,95862,95783,95847,220
20230914,090700,95846,95871,95821,95862,402
20230914,090800,95857,95857,95827,95839,154
20230914,090900,95828,95858,95818,95847,358
20230914,091000,95847,95908,95847,95908,238
20230914,091100,95890,95915,95877,95915,46
20230914,091200,95913,95915,95881,95896,44
20230914,091300,95876,95915,95876,95901,26
20230914,091400,95908,95912,95889,95891,40
20230914,091500,95899,95930,95878,95909,275
20230914,091600,95901,95905,95900,95905,10
20230914,091700,95900,95950,95900,95939,103
20230914,091800,95937,95959,95936,95959,192
20230914,091900,95954,95959,95925,95933,124
20230914,092000,95932,96000,95932,96000,245
20230914,092100,96000,96000,95958,95960,138
20230914,092200,95960,95966,95915,95921,214
20230914,092300,95922,95928,95894,95912,118
20230914,092400,95920,95948,95918,95937,23
20230914,092500,95937,95958,95935,95958,75
20230914,092600,95951,95973,95936,95936,108
20230914,092700,95936,95936,95900,95913,168
20230914,092800,95916,95933,95916,95933,62
20230914,092900,95910,95946,95900,95940,266
20230914,093000,95940,95957,95911,95923,103
20230914,093100,95928,95928,95855,95896,525
20230914,093200,95896,95917,95894,95911,140
20230914,093300,95910,95911,95878,95911,23
20230914,093400,95895,95916,95824,95893,542
20230914,093500,95891,95909,95883,95909,39
20230914,093600,95904,95906,95888,95892,27
20230914,093700,95892,95907,95892,95892,34
20230914,093800,95897,95934,95897,95934,173
20230914,093900,95929,95930,95912,95926,26
20230914,094000,95919,95921,95910,95910,168
20230914,094100,95918,95919,95910,95916,60
20230914,094200,95917,95947,95910,95947,70
20230914,094300,95944,95950,95910,95910,129
20230914,094400,95910,95911,95752,95765,489
20230914,094500,95757,95847,95750,95776,285
20230914,094600,95776,95837,95744,95832,164
20230914,094700,95829,95872,95810,95871,333
20230914,094800,95872,95883,95799,95799,173
20230914,094900,95804,95857,95804,95838,70
20230914,095000,95823,95838,95816,95827,135
20230914,095100,95825,95837,95820,95820,122
20230914,095200,95821,95830,95820,95825,187
20230914,095300,95826,95826,95705,95711,238
20230914,095400,95719,95774,95718,95757,96
20230914,095500,95756,95759,95708,95708,260
20230914,095600,95708,95722,95700,95710,273
20230914,095700,95710,95710,95700,95703,244
20230914,095800,95703,95710,95620,95620,555
20230914,095900,95634,95645,95555,95557,635
20230914,100000,95555,95645,95549,95638,697
20230914,100100,95638,95643,95600,95607,358
20230914,100200,95600,95601,95530,95530,665
20230914,100300,95545,95565,95413,95432,3855
20230914,100400,95434,95436,95300,95331,1117
20230914,100500,95332,95479,95300,95479,542
20230914,100600,95479,95500,95455,95462,1910
20230914,100700,95460,95460,95394,95439,325
20230914,100800,95430,95470,95415,95459,131
20230914,100900,95459,95481,95426,95471,247
20230914,101000,95470,95484,95333,95353,665
20230914,101100,95363,95375,95300,95300,517
20230914,101200,95303,95350,95271,95308,1078
20230914,101300,95308,95310,95265,95290,1704
20230914,101400,95293,95360,95240,95342,2944
20230914,101500,95339,95397,95300,95350,1916
20230914,101600,95325,95325,95251,95251,219
20230914,101700,95266,95278,95175,95183,596
20230914,101800,95176,95208,95151,95151,322
20230914,101900,95171,95195,95160,95195,251
20230914,102000,95195,95195,95102,95119,332
20230914,102100,95120,95174,95112,95145,431
20230914,102200,95134,95214,95134,95214,1849
20230914,102300,95181,95423,95181,95322,2187
20230914,102400,95329,95421,95281,95420,871
20230914,102500,95411,95444,95381,95410,811
20230914,102600,95399,95400,95281,95297,839
20230914,102700,95298,95367,95287,95352,160
20230914,102800,95347,95354,95309,95354,146
20230914,102900,95351,95365,95330,95346,564
20230914,103000,95344,95415,95339,95371,477
20230914,103100,95355,95427,95306,95412,1037
20230914,103200,95412,95417,95359,95397,430
20230914,103300,95401,95645,95389,95496,729
20230914,103400,95498,95559,95258,95390,540
20230914,103500,95406,95429,95376,95400,252
20230914,103600,95399,95404,95339,95384,327
20230914,103700,95380,95412,95380,95411,388
20230914,103800,95408,95442,95381,95428,419
20230914,103900,95427,95428,95406,95420,170
20230914,104000,95410,95447,95386,95434,886
20230914,104100,95429,95499,95429,95493,488
20230914,104200,95496,95530,95495,95507,913
20230914,104300,95501,95511,95441,95441,353
20230914,104400,95441,95460,95436,95459,455
20230914,104500,95451,95465,95375,95382,594
20230914,104600,95382,95383,95296,95307,781
20230914,104700,95310,95432,95310,95432,1007
20230914,104800,95432,95552,95388,95550,662
20230914,104900,95553,95609,95390,95434,1392
20230914,105000,95427,95469,95397,95435,778
20230914,105100,95424,95462,95382,95449,596
20230914,105200,95450,95450,95335,95350,1460
20230914,105300,95361,95401,95349,95379,147
20230914,105400,95364,95385,95290,95375,609
20230914,105500,95380,95382,95309,95309,346
20230914,105600,95315,95325,95226,95240,1207
20230914,105700,95231,95274,95216,95268,258
20230914,105800,95269,95288,95267,95280,394
