<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200918,100100,75890.0000000,75890.0000000,75650.0000000,75702.0000000,55386
20200918,100200,75703.0000000,75726.0000000,75676.0000000,75682.0000000,15885
20200918,100300,75683.0000000,75695.0000000,75664.0000000,75681.0000000,7981
20200918,100400,75680.0000000,75696.0000000,75673.0000000,75691.0000000,6824
20200918,100500,75695.0000000,75773.0000000,75688.0000000,75742.0000000,18937
20200918,100600,75745.0000000,75759.0000000,75722.0000000,75723.0000000,9888
20200918,100700,75725.0000000,75739.0000000,75692.0000000,75716.0000000,10919
20200918,100800,75719.0000000,75737.0000000,75707.0000000,75727.0000000,9835
20200918,100900,75728.0000000,75728.0000000,75707.0000000,75717.0000000,9122
20200918,101000,75720.0000000,75741.0000000,75703.0000000,75722.0000000,6937
20200918,101100,75722.0000000,75732.0000000,75696.0000000,75723.0000000,11602
20200918,101200,75724.0000000,75737.0000000,75691.0000000,75712.0000000,5208
20200918,101300,75712.0000000,75735.0000000,75702.0000000,75731.0000000,3212
20200918,101400,75733.0000000,75777.0000000,75730.0000000,75772.0000000,11532
20200918,101500,75772.0000000,75800.0000000,75772.0000000,75791.0000000,8036
20200918,101600,75791.0000000,75792.0000000,75761.0000000,75763.0000000,10288
20200918,101700,75766.0000000,75770.0000000,75750.0000000,75760.0000000,5387
20200918,101800,75760.0000000,75786.0000000,75758.0000000,75780.0000000,4462
20200918,101900,75780.0000000,75786.0000000,75764.0000000,75768.0000000,4021
20200918,102000,75769.0000000,75772.0000000,75730.0000000,75745.0000000,6799
20200918,102100,75742.0000000,75749.0000000,75719.0000000,75732.0000000,5938
20200918,102200,75732.0000000,75753.0000000,75730.0000000,75741.0000000,6489
20200918,102300,75738.0000000,75758.0000000,75734.0000000,75745.0000000,4729
20200918,102400,75743.0000000,75748.0000000,75734.0000000,75736.0000000,3351
20200918,102500,75737.0000000,75745.0000000,75719.0000000,75742.0000000,5028
20200918,102600,75746.0000000,75763.0000000,75734.0000000,75747.0000000,3701
20200918,102700,75749.0000000,75762.0000000,75725.0000000,75726.0000000,4745
20200918,102800,75729.0000000,75737.0000000,75720.0000000,75725.0000000,1966
20200918,102900,75725.0000000,75725.0000000,75709.0000000,75715.0000000,3398
20200918,103000,75714.0000000,75726.0000000,75703.0000000,75722.0000000,6774
20200918,103100,75722.0000000,75722.0000000,75703.0000000,75717.0000000,5916
20200918,103200,75718.0000000,75750.0000000,75710.0000000,75748.0000000,5190
20200918,103300,75750.0000000,75751.0000000,75730.0000000,75745.0000000,5079
20200918,103400,75744.0000000,75744.0000000,75717.0000000,75719.0000000,3615
20200918,103500,75717.0000000,75722.0000000,75709.0000000,75717.0000000,4276
20200918,103600,75717.0000000,75734.0000000,75710.0000000,75715.0000000,3001
20200918,103700,75715.0000000,75716.0000000,75686.0000000,75696.0000000,13337
20200918,103800,75693.0000000,75732.0000000,75680.0000000,75727.0000000,6799
20200918,103900,75727.0000000,75731.0000000,75714.0000000,75730.0000000,9136
20200918,104000,75730.0000000,75753.0000000,75725.0000000,75744.0000000,6017
20200918,104100,75744.0000000,75774.0000000,75734.0000000,75740.0000000,9691
20200918,104200,75735.0000000,75739.0000000,75704.0000000,75714.0000000,6527
20200918,104300,75714.0000000,75737.0000000,75702.0000000,75729.0000000,3092
20200918,104400,75731.0000000,75745.0000000,75712.0000000,75713.0000000,6241
20200918,104500,75715.0000000,75720.0000000,75701.0000000,75702.0000000,2970
20200918,104600,75705.0000000,75725.0000000,75683.0000000,75704.0000000,10225
20200918,104700,75704.0000000,75726.0000000,75701.0000000,75718.0000000,2193
20200918,104800,75717.0000000,75736.0000000,75714.0000000,75729.0000000,2390
20200918,104900,75730.0000000,75733.0000000,75710.0000000,75715.0000000,1361
20200918,105000,75716.0000000,75719.0000000,75694.0000000,75695.0000000,1767
20200918,105100,75696.0000000,75703.0000000,75688.0000000,75694.0000000,3351
20200918,105200,75694.0000000,75718.0000000,75690.0000000,75709.0000000,5796
20200918,105300,75706.0000000,75739.0000000,75701.0000000,75739.0000000,6455
20200918,105400,75738.0000000,75738.0000000,75708.0000000,75720.0000000,3891
20200918,105500,75723.0000000,75723.0000000,75700.0000000,75720.0000000,3820
20200918,105600,75720.0000000,75741.0000000,75716.0000000,75736.0000000,4187
20200918,105700,75736.0000000,75747.0000000,75710.0000000,75741.0000000,6322
20200918,105800,75742.0000000,75746.0000000,75717.0000000,75723.0000000,5013
20200918,105900,75726.0000000,75736.0000000,75716.0000000,75726.0000000,5047
20200918,110000,75726.0000000,75734.0000000,75717.0000000,75734.0000000,2932
20200918,110100,75734.0000000,75742.0000000,75720.0000000,75735.0000000,7504
20200918,110200,75735.0000000,75737.0000000,75707.0000000,75716.0000000,6307
20200918,110300,75713.0000000,75722.0000000,75700.0000000,75704.0000000,4853
20200918,110400,75705.0000000,75722.0000000,75692.0000000,75720.0000000,3685
20200918,110500,75720.0000000,75733.0000000,75710.0000000,75722.0000000,7724
20200918,110600,75721.0000000,75729.0000000,75710.0000000,75725.0000000,2833
20200918,110700,75725.0000000,75729.0000000,75713.0000000,75729.0000000,1886
20200918,110800,75729.0000000,75729.0000000,75715.0000000,75716.0000000,1326
20200918,110900,75717.0000000,75726.0000000,75713.0000000,75724.0000000,1331
20200918,111000,75723.0000000,75725.0000000,75706.0000000,75725.0000000,2737
20200918,111100,75724.0000000,75732.0000000,75705.0000000,75709.0000000,2751
20200918,111200,75709.0000000,75722.0000000,75704.0000000,75716.0000000,2646
20200918,111300,75715.0000000,75723.0000000,75714.0000000,75718.0000000,1468
20200918,111400,75716.0000000,75720.0000000,75708.0000000,75717.0000000,2982
20200918,111500,75717.0000000,75723.0000000,75706.0000000,75717.0000000,2530
20200918,111600,75720.0000000,75722.0000000,75708.0000000,75717.0000000,3130
20200918,111700,75717.0000000,75719.0000000,75700.0000000,75702.0000000,3472
20200918,111800,75702.0000000,75715.0000000,75697.0000000,75710.0000000,3200
20200918,111900,75710.0000000,75713.0000000,75692.0000000,75693.0000000,4376
20200918,112000,75693.0000000,75713.0000000,75682.0000000,75700.0000000,10095
20200918,112100,75699.0000000,75715.0000000,75690.0000000,75714.0000000,3422
20200918,112200,75712.0000000,75714.0000000,75693.0000000,75699.0000000,3714
20200918,112300,75699.0000000,75704.0000000,75684.0000000,75699.0000000,2678
20200918,112400,75703.0000000,75713.0000000,75694.0000000,75710.0000000,1647
20200918,112500,75712.0000000,75714.0000000,75703.0000000,75710.0000000,836
20200918,112600,75707.0000000,75714.0000000,75695.0000000,75714.0000000,1057
