<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20240613,100000,92015,92152,90852,91176,3973
20240613,100100,91176,91344,90648,90752,1305
20240613,100200,90950,91125,89390,89600,2686
20240613,100300,89600,90000,88977,89860,1693
20240613,100400,89860,90000,89761,90000,832
20240613,100500,90000,90000,89840,89985,1324
20240613,100600,89995,90442,89837,90440,1769
20240613,100700,90330,90800,90330,90800,536
20240613,100800,90813,91171,90700,90957,1137
20240613,100900,90916,91208,90900,91110,2237
20240613,101000,91177,91260,91000,91155,1512
20240613,101100,91117,91184,90970,91000,1829
20240613,101200,91032,91150,91000,91142,1578
20240613,101300,91143,91298,91100,91200,709
20240613,101400,91202,91327,91149,91200,786
20240613,101500,91196,91351,91182,91350,1930
20240613,101600,91362,91363,91251,91272,1947
20240613,101700,91280,91392,90992,91187,4209
20240613,101800,91259,91285,91123,91172,870
20240613,101900,91172,91287,91150,91201,2093
20240613,102000,91160,91163,91000,91139,2662
20240613,102100,91141,91151,91079,91101,669
20240613,102200,91106,91200,91092,91160,926
20240613,102300,91153,91215,91081,91200,994
20240613,102400,91201,91295,91200,91202,678
20240613,102500,91252,91366,91251,91254,514
20240613,102600,91280,91405,91254,91300,1244
20240613,102700,91286,91300,91260,91264,184
20240613,102800,91294,91348,91291,91291,652
20240613,102900,91291,91300,91291,91300,233
20240613,103000,91300,91300,91260,91260,325
20240613,103100,91295,91300,91260,91261,570
20240613,103200,91261,91293,91217,91257,741
20240613,103300,91257,91260,91226,91227,433
20240613,103400,91227,91257,90829,91101,999
20240613,103500,91113,91285,91081,91260,311
20240613,103600,91260,91293,91081,91122,144
20240613,103700,91100,91100,90865,90916,432
20240613,103800,90927,90943,90831,90864,155
20240613,103900,90892,90902,90864,90900,81
20240613,104000,90888,90932,90864,90932,199
20240613,104100,90879,90900,90864,90864,274
20240613,104200,90864,90934,90864,90900,98
20240613,104300,90900,90934,90874,90932,397
20240613,104400,90890,90896,90864,90885,584
20240613,104500,90875,90918,90864,90867,2420
20240613,104600,90888,90897,90864,90864,2526
20240613,104700,90864,90882,90644,90706,1315
20240613,104800,90656,90691,90510,90548,1016
20240613,104900,90554,90608,90530,90608,2983
20240613,105000,90603,90725,90542,90576,1156
20240613,105100,90629,90658,90550,90552,754
20240613,105200,90552,90650,90552,90609,384
20240613,105300,90609,90634,90530,90540,1420
20240613,105400,90540,90550,90530,90530,1093
20240613,105500,90530,90569,90530,90530,1195
20240613,105600,90530,90542,90530,90531,2121
20240613,105700,90530,90558,90530,90530,2075
20240613,105800,90530,90569,90530,90555,6941
20240613,105900,90555,90600,90530,90530,1341
20240613,110000,90530,91002,90530,90563,13804
20240613,110100,90567,90624,90530,90530,6082
20240613,110200,90530,90550,90530,90550,2724
20240613,110300,90543,90999,90540,90844,1004
20240613,110400,90848,90980,90841,90865,370
20240613,110500,90880,90918,90720,90830,532
20240613,110600,90834,90834,90600,90647,551
20240613,110700,90666,90715,90656,90670,145
20240613,110800,90705,90794,90671,90750,902
20240613,110900,90750,90808,90670,90675,696
20240613,111000,90677,90750,90676,90688,270
20240613,111100,90681,90780,90666,90745,143
20240613,111200,90744,90763,90581,90676,219
20240613,111300,90645,90722,90600,90630,369
20240613,111400,90646,90691,90630,90651,900
20240613,111500,90669,90674,90630,90630,908
