<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20231214,090000,90302,90399,90120,90265,1320
20231214,090100,90252,90255,90224,90234,154
20231214,090200,90235,90247,90224,90242,61
20231214,090300,90245,90260,90242,90260,80
20231214,090400,90260,90312,90237,90312,188
20231214,090500,90261,90261,90226,90226,89
20231214,090600,90226,90230,90219,90219,148
20231214,090700,90237,90237,90203,90203,85
20231214,090800,90208,90208,90196,90198,157
20231214,090900,90198,90200,90196,90200,80
20231214,091000,90199,90239,90198,90203,142
20231214,091100,90203,90220,90200,90201,102
20231214,091200,90205,90210,90201,90201,70
20231214,091300,90201,90215,90200,90201,86
20231214,091400,90201,90212,90200,90200,28
20231214,091500,90201,90208,90200,90202,77
20231214,091600,90200,90214,90196,90204,51
20231214,091700,90210,90218,90210,90211,22
20231214,091800,90217,90220,90200,90200,26
20231214,091900,90196,90196,90190,90190,145
20231214,092000,90191,90191,90180,90190,72
20231214,092100,90190,90190,90170,90189,63
20231214,092200,90186,90186,90152,90166,104
20231214,092300,90162,90177,90161,90175,52
20231214,092400,90175,90175,90174,90175,67
20231214,092500,90175,90188,90170,90186,47
20231214,092600,90180,90187,90170,90181,56
20231214,092700,90170,90187,90168,90180,45
20231214,092800,90187,90192,90187,90192,101
20231214,092900,90190,90190,90180,90184,21
20231214,093000,90192,90192,90180,90189,19
20231214,093100,90192,90192,90184,90185,14
20231214,093200,90198,90203,90186,90203,20
20231214,093300,90195,90208,90194,90208,7
20231214,093400,90201,90208,90194,90194,91
20231214,093500,90194,90195,90180,90186,109
20231214,093600,90180,90187,90180,90187,41
20231214,093700,90197,90197,90172,90172,42
20231214,093800,90171,90207,90171,90207,91
20231214,093900,90200,90209,90186,90209,44
20231214,094000,90209,90209,90202,90209,24
20231214,094100,90195,90215,90195,90215,4
20231214,094200,90221,90242,90215,90242,54
20231214,094300,90235,90238,90210,90210,9
20231214,094400,90221,90239,90221,90230,10
20231214,094500,90239,90259,90230,90245,57
20231214,094600,90255,90279,90254,90273,88
20231214,094700,90265,90299,90262,90270,83
20231214,094800,90281,90300,90264,90264,139
20231214,094900,90264,90264,90256,90257,12
20231214,095000,90274,90276,90257,90257,6
20231214,095100,90264,90275,90264,90275,8
20231214,095200,90274,90279,90264,90279,32
20231214,095300,90273,90350,90273,90294,285
20231214,095400,90295,90324,90289,90298,92
20231214,095500,90264,90284,90259,90284,4
20231214,095600,90270,90308,90255,90308,164
20231214,095700,90296,90300,90278,90300,27
20231214,095800,90288,90300,90288,90300,14
20231214,095900,90297,90304,90279,90279,52
20231214,100000,90278,90279,90233,90245,97
20231214,100100,90240,90268,90233,90264,156
20231214,100200,90265,90273,90252,90273,21
20231214,100300,90261,90294,90230,90294,195
20231214,100400,90294,90294,90284,90288,56
20231214,100500,90289,90390,90285,90390,464
20231214,100600,90394,90440,90364,90397,283
20231214,100700,90393,90432,90393,90430,249
20231214,100800,90430,90484,90430,90480,666
20231214,100900,90480,90491,90480,90480,279
20231214,101000,90480,90527,90480,90503,269
20231214,101100,90513,90545,90510,90510,541
20231214,101200,90506,90516,90497,90500,323
20231214,101300,90500,90523,90500,90500,103
20231214,101400,90504,90518,90500,90501,158
20231214,101500,90500,90513,90491,90500,147
20231214,101600,90503,90506,90491,90491,59
20231214,101700,90500,90521,90496,90500,84
20231214,101800,90495,90527,90469,90527,73
20231214,101900,90513,90524,90394,90395,218
20231214,102000,90392,90441,90378,90441,73
20231214,102100,90438,90452,90420,90452,58
20231214,102200,90421,90444,90419,90419,12
20231214,102300,90417,90436,90404,90420,43
20231214,102400,90427,90431,90412,90418,37
20231214,102500,90419,90431,90419,90431,34
20231214,102600,90421,90430,90419,90430,9
20231214,102700,90439,90448,90419,90419,42
20231214,102800,90429,90460,90429,90446,30
20231214,102900,90450,90485,90446,90485,122
20231214,103000,90479,90488,90456,90467,52
20231214,103100,90467,90468,90437,90439,14
20231214,103200,90447,90452,90429,90429,87
20231214,103300,90430,90430,90428,90428,5
