<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200619,100100,70624.0000000,70624.0000000,70213.0000000,70338.0000000,40317
20200619,100200,70338.0000000,70339.0000000,70275.0000000,70282.0000000,11868
20200619,100300,70283.0000000,70296.0000000,70264.0000000,70288.0000000,5635
20200619,100400,70287.0000000,70321.0000000,70281.0000000,70320.0000000,5011
20200619,100500,70320.0000000,70329.0000000,70316.0000000,70321.0000000,3766
20200619,100600,70322.0000000,70367.0000000,70310.0000000,70339.0000000,11098
20200619,100700,70337.0000000,70348.0000000,70322.0000000,70327.0000000,5502
20200619,100800,70329.0000000,70342.0000000,70318.0000000,70328.0000000,3337
20200619,100900,70330.0000000,70350.0000000,70323.0000000,70329.0000000,5157
20200619,101000,70326.0000000,70339.0000000,70301.0000000,70317.0000000,5338
20200619,101100,70316.0000000,70317.0000000,70302.0000000,70309.0000000,6005
20200619,101200,70308.0000000,70309.0000000,70244.0000000,70255.0000000,22794
20200619,101300,70255.0000000,70257.0000000,70211.0000000,70237.0000000,10308
20200619,101400,70237.0000000,70254.0000000,70224.0000000,70235.0000000,8421
20200619,101500,70235.0000000,70253.0000000,70215.0000000,70252.0000000,10400
20200619,101600,70247.0000000,70277.0000000,70223.0000000,70274.0000000,18843
20200619,101700,70274.0000000,70275.0000000,70232.0000000,70263.0000000,11408
20200619,101800,70263.0000000,70263.0000000,70236.0000000,70247.0000000,2843
20200619,101900,70248.0000000,70257.0000000,70234.0000000,70252.0000000,3388
20200619,102000,70253.0000000,70267.0000000,70243.0000000,70248.0000000,1874
20200619,102100,70248.0000000,70265.0000000,70236.0000000,70255.0000000,3663
20200619,102200,70254.0000000,70256.0000000,70234.0000000,70255.0000000,3414
20200619,102300,70255.0000000,70273.0000000,70243.0000000,70273.0000000,2746
20200619,102400,70273.0000000,70281.0000000,70267.0000000,70279.0000000,2062
20200619,102500,70280.0000000,70284.0000000,70261.0000000,70282.0000000,1762
20200619,102600,70282.0000000,70285.0000000,70264.0000000,70272.0000000,2174
20200619,102700,70272.0000000,70296.0000000,70271.0000000,70286.0000000,3203
20200619,102800,70286.0000000,70312.0000000,70286.0000000,70305.0000000,4162
20200619,102900,70303.0000000,70339.0000000,70294.0000000,70333.0000000,2907
20200619,103000,70332.0000000,70350.0000000,70310.0000000,70319.0000000,2928
20200619,103100,70322.0000000,70326.0000000,70294.0000000,70298.0000000,5943
20200619,103200,70297.0000000,70300.0000000,70275.0000000,70288.0000000,2803
20200619,103300,70291.0000000,70319.0000000,70286.0000000,70317.0000000,3273
20200619,103400,70319.0000000,70335.0000000,70309.0000000,70313.0000000,4694
20200619,103500,70313.0000000,70318.0000000,70297.0000000,70306.0000000,1633
20200619,103600,70306.0000000,70321.0000000,70296.0000000,70317.0000000,1583
20200619,103700,70316.0000000,70321.0000000,70304.0000000,70307.0000000,815
20200619,103800,70304.0000000,70334.0000000,70298.0000000,70330.0000000,2590
20200619,103900,70331.0000000,70342.0000000,70309.0000000,70323.0000000,4542
20200619,104000,70322.0000000,70335.0000000,70297.0000000,70333.0000000,2614
20200619,104100,70331.0000000,70335.0000000,70316.0000000,70326.0000000,2965
20200619,104200,70325.0000000,70333.0000000,70307.0000000,70323.0000000,3233
20200619,104300,70323.0000000,70327.0000000,70302.0000000,70305.0000000,1925
20200619,104400,70310.0000000,70314.0000000,70293.0000000,70305.0000000,1376
20200619,104500,70305.0000000,70333.0000000,70302.0000000,70330.0000000,1073
20200619,104600,70326.0000000,70386.0000000,70323.0000000,70358.0000000,7250
20200619,104700,70360.0000000,70377.0000000,70357.0000000,70368.0000000,1445
20200619,104800,70369.0000000,70405.0000000,70353.0000000,70356.0000000,4804
20200619,104900,70356.0000000,70361.0000000,70336.0000000,70341.0000000,1434
20200619,105000,70344.0000000,70344.0000000,70305.0000000,70305.0000000,3208
20200619,105100,70305.0000000,70338.0000000,70304.0000000,70316.0000000,4908
20200619,105200,70314.0000000,70324.0000000,70303.0000000,70315.0000000,2351
20200619,105300,70313.0000000,70322.0000000,70301.0000000,70313.0000000,1320
20200619,105400,70314.0000000,70331.0000000,70299.0000000,70309.0000000,2736
20200619,105500,70311.0000000,70317.0000000,70301.0000000,70301.0000000,930
20200619,105600,70300.0000000,70309.0000000,70276.0000000,70304.0000000,5198
20200619,105700,70303.0000000,70308.0000000,70262.0000000,70262.0000000,5555
20200619,105800,70263.0000000,70283.0000000,70258.0000000,70274.0000000,2582
20200619,105900,70274.0000000,70287.0000000,70257.0000000,70271.0000000,3554
20200619,110000,70274.0000000,70277.0000000,70250.0000000,70253.0000000,5027
20200619,110100,70254.0000000,70268.0000000,70243.0000000,70261.0000000,7626
20200619,110200,70260.0000000,70281.0000000,70251.0000000,70276.0000000,6398
20200619,110300,70276.0000000,70287.0000000,70265.0000000,70270.0000000,2265
20200619,110400,70268.0000000,70287.0000000,70252.0000000,70261.0000000,5063
20200619,110500,70258.0000000,70283.0000000,70256.0000000,70283.0000000,1111
20200619,110600,70283.0000000,70292.0000000,70267.0000000,70292.0000000,2213
20200619,110700,70292.0000000,70315.0000000,70282.0000000,70289.0000000,4654
20200619,110800,70291.0000000,70332.0000000,70281.0000000,70318.0000000,3362
20200619,110900,70322.0000000,70326.0000000,70295.0000000,70305.0000000,1719
20200619,111000,70305.0000000,70327.0000000,70290.0000000,70313.0000000,2282
20200619,111100,70316.0000000,70335.0000000,70292.0000000,70297.0000000,3100
20200619,111200,70297.0000000,70310.0000000,70286.0000000,70295.0000000,1430
20200619,111300,70295.0000000,70306.0000000,70285.0000000,70296.0000000,1367
20200619,111400,70298.0000000,70299.0000000,70280.0000000,70289.0000000,1333
20200619,111500,70289.0000000,70304.0000000,70284.0000000,70285.0000000,1298
20200619,111600,70284.0000000,70293.0000000,70273.0000000,70280.0000000,1404
20200619,111700,70280.0000000,70303.0000000,70276.0000000,70287.0000000,921
20200619,111800,70292.0000000,70299.0000000,70283.0000000,70292.0000000,565
20200619,111900,70293.0000000,70298.0000000,70282.0000000,70283.0000000,903
20200619,112000,70283.0000000,70324.0000000,70279.0000000,70315.0000000,1817
20200619,112100,70317.0000000,70323.0000000,70305.0000000,70322.0000000,805
20200619,112200,70322.0000000,70329.0000000,70300.0000000,70310.0000000,1628
20200619,112300,70310.0000000,70310.0000000,70288.0000000,70300.0000000,1452
20200619,112400,70297.0000000,70311.0000000,70293.0000000,70306.0000000,354
20200619,112500,70307.0000000,70307.0000000,70283.0000000,70296.0000000,1168
20200619,112600,70296.0000000,70306.0000000,70254.0000000,70257.0000000,4236
20200619,112700,70259.0000000,70273.0000000,70257.0000000,70266.0000000,2123
20200619,112800,70264.0000000,70270.0000000,70253.0000000,70268.0000000,2652
20200619,112900,70270.0000000,70280.0000000,70256.0000000,70260.0000000,796
20200619,113000,70262.0000000,70266.0000000,70238.0000000,70242.0000000,4913
20200619,113100,70242.0000000,70260.0000000,70227.0000000,70258.0000000,7010
